,Bot_Equity
2025-02-19 00:00:00+00:00,16839.427316470563
2025-02-20 00:00:00+00:00,16839.427316470563
2025-02-21 00:00:00+00:00,16839.427316470563
2025-02-24 00:00:00+00:00,16839.427316470563
2025-02-25 00:00:00+00:00,16839.427316470563
2025-02-26 00:00:00+00:00,16839.427316470563
2025-02-27 00:00:00+00:00,16667.665157842563
2025-02-28 00:00:00+00:00,16824.308541702576
2025-03-03 00:00:00+00:00,16824.308541702576
2025-03-04 00:00:00+00:00,16824.308541702576
2025-03-05 00:00:00+00:00,16824.308541702576
2025-03-06 00:00:00+00:00,16652.70059457721
2025-03-07 00:00:00+00:00,16652.70059457721
2025-03-10 00:00:00+00:00,16652.70059457721
2025-03-11 00:00:00+00:00,17661.585848908264
2025-03-12 00:00:00+00:00,17661.585848908264
2025-03-13 00:00:00+00:00,18180.5560279355
2025-03-14 00:00:00+00:00,18164.233160977055
2025-03-17 00:00:00+00:00,17434.394381414928
2025-03-18 00:00:00+00:00,18302.033175856333
2025-03-19 00:00:00+00:00,18664.41343273829
2025-03-20 00:00:00+00:00,20187.120547072016
2025-03-21 00:00:00+00:00,20187.120547072016
2025-03-24 00:00:00+00:00,19981.21191749188
2025-03-25 00:00:00+00:00,19575.674039662943
2025-03-26 00:00:00+00:00,19178.366942380904
2025-03-27 00:00:00+00:00,18982.747599568618
2025-03-28 00:00:00+00:00,18982.747599568618
2025-03-31 00:00:00+00:00,18982.747599568618
2025-04-01 00:00:00+00:00,18982.747599568618
2025-04-02 00:00:00+00:00,18982.747599568618
2025-04-03 00:00:00+00:00,18982.747599568618
2025-04-04 00:00:00+00:00,18982.747599568618
2025-04-07 00:00:00+00:00,18982.747599568618
2025-04-08 00:00:00+00:00,18982.747599568618
2025-04-09 00:00:00+00:00,18982.747599568618
2025-04-10 00:00:00+00:00,18982.747599568618
2025-04-11 00:00:00+00:00,19161.14822081927
2025-04-14 00:00:00+00:00,18017.98525676768
2025-04-15 00:00:00+00:00,17294.02271712032
2025-04-16 00:00:00+00:00,16755.148454132745
2025-04-17 00:00:00+00:00,16755.148454132745
2025-04-18 00:00:00+00:00,16755.148454132745
2025-04-21 00:00:00+00:00,16755.148454132745
2025-04-22 00:00:00+00:00,17425.22102131636
2025-04-23 00:00:00+00:00,17425.22102131636
2025-04-24 00:00:00+00:00,17425.22102131636
2025-04-25 00:00:00+00:00,17425.22102131636
2025-04-28 00:00:00+00:00,17425.22102131636
2025-04-29 00:00:00+00:00,17425.22102131636
2025-04-30 00:00:00+00:00,17425.22102131636
2025-05-01 00:00:00+00:00,17425.22102131636
2025-05-02 00:00:00+00:00,17425.22102131636
2025-05-05 00:00:00+00:00,17425.22102131636
2025-05-06 00:00:00+00:00,17425.22102131636
2025-05-07 00:00:00+00:00,17425.22102131636
2025-05-08 00:00:00+00:00,17425.22102131636
2025-05-09 00:00:00+00:00,17425.22102131636
2025-05-12 00:00:00+00:00,17770.240397538422
2025-05-13 00:00:00+00:00,17770.240397538422
2025-05-14 00:00:00+00:00,17770.240397538422
2025-05-15 00:00:00+00:00,17770.240397538422
2025-05-16 00:00:00+00:00,18122.091157409683
2025-05-19 00:00:00+00:00,17393.94564329836
2025-05-20 00:00:00+00:00,18447.738400484788
2025-05-21 00:00:00+00:00,18259.571468799844
2025-05-22 00:00:00+00:00,18259.571468799844
2025-05-23 00:00:00+00:00,18259.571468799844
2025-05-26 00:00:00+00:00,18259.571468799844
2025-05-27 00:00:00+00:00,18259.571468799844
2025-05-28 00:00:00+00:00,18243.177660197653
2025-05-29 00:00:00+00:00,18057.097248063637
2025-05-30 00:00:00+00:00,18057.097248063637
2025-06-02 00:00:00+00:00,18779.237403492087
2025-06-03 00:00:00+00:00,18779.237403492087
2025-06-04 00:00:00+00:00,19151.06630408123
2025-06-05 00:00:00+00:00,19151.06630408123
2025-06-06 00:00:00+00:00,19530.257416902037
2025-06-09 00:00:00+00:00,19916.956513756697
2025-06-10 00:00:00+00:00,19512.722761031753
2025-06-11 00:00:00+00:00,19313.69298886923
2025-06-12 00:00:00+00:00,19116.69332038276
2025-06-13 00:00:00+00:00,18921.703048514857
2025-06-16 00:00:00+00:00,18728.701677420006
2025-06-17 00:00:00+00:00,18728.701677420006
2025-06-18 00:00:00+00:00,18904.71476493247
2025-06-19 00:00:00+00:00,18904.71476493247
2025-06-20 00:00:00+00:00,19279.028117278132
2025-06-23 00:00:00+00:00,18887.741733770978
2025-06-24 00:00:00+00:00,18887.741733770978
2025-06-25 00:00:00+00:00,18887.741733770978
2025-06-26 00:00:00+00:00,18695.086768086512
2025-06-27 00:00:00+00:00,18695.086768086512
2025-06-30 00:00:00+00:00,19065.249486094624
2025-07-01 00:00:00+00:00,18870.78394133646
2025-07-02 00:00:00+00:00,18870.78394133646
2025-07-03 00:00:00+00:00,18870.78394133646
2025-07-04 00:00:00+00:00,18870.78394133646
2025-07-07 00:00:00+00:00,18870.78394133646
2025-07-08 00:00:00+00:00,18870.78394133646
2025-07-09 00:00:00+00:00,19244.425463374922
2025-07-10 00:00:00+00:00,19048.132323648497
2025-07-11 00:00:00+00:00,19048.132323648497
2025-07-14 00:00:00+00:00,18853.84137394728
2025-07-15 00:00:00+00:00,18661.53219193302
2025-07-16 00:00:00+00:00,18661.53219193302
2025-07-17 00:00:00+00:00,19407.844933814093
2025-07-18 00:00:00+00:00,19590.240636815877
2025-07-21 00:00:00+00:00,19590.240636815877
2025-07-22 00:00:00+00:00,19590.240636815877
2025-07-23 00:00:00+00:00,19590.240636815877
2025-07-24 00:00:00+00:00,19390.420182320355
2025-07-25 00:00:00+00:00,19390.420182320355
2025-07-28 00:00:00+00:00,19390.420182320355
2025-07-29 00:00:00+00:00,19192.63789646069
2025-07-30 00:00:00+00:00,19192.63789646069
2025-07-31 00:00:00+00:00,19373.01107511714
2025-08-01 00:00:00+00:00,19373.01107511714
2025-08-04 00:00:00+00:00,19756.59669440446
2025-08-05 00:00:00+00:00,19756.59669440446
2025-08-06 00:00:00+00:00,19555.079408121535
2025-08-07 00:00:00+00:00,19555.079408121535
2025-08-08 00:00:00+00:00,19555.079408121535
2025-08-11 00:00:00+00:00,19555.079408121535
2025-08-12 00:00:00+00:00,19355.617598158697
2025-08-13 00:00:00+00:00,19355.617598158697
2025-08-14 00:00:00+00:00,19355.617598158697
2025-08-15 00:00:00+00:00,19355.617598158697
2025-08-18 00:00:00+00:00,19355.617598158697
2025-08-19 00:00:00+00:00,19355.617598158697
2025-08-20 00:00:00+00:00,19355.617598158697
2025-08-21 00:00:00+00:00,19355.617598158697
2025-08-22 00:00:00+00:00,19355.617598158697
2025-08-25 00:00:00+00:00,19355.617598158697
2025-08-26 00:00:00+00:00,19537.522466570896
2025-08-27 00:00:00+00:00,19537.522466570896
2025-08-28 00:00:00+00:00,19140.989692090272
2025-08-29 00:00:00+00:00,19140.989692090272
2025-09-01 00:00:00+00:00,19140.989692090272
2025-09-02 00:00:00+00:00,19140.989692090272
2025-09-03 00:00:00+00:00,19140.989692090272
2025-09-04 00:00:00+00:00,19140.989692090272
2025-09-05 00:00:00+00:00,19140.989692090272
2025-09-08 00:00:00+00:00,19140.989692090272
2025-09-09 00:00:00+00:00,18945.751597230952
2025-09-10 00:00:00+00:00,19320.877478856124
2025-09-11 00:00:00+00:00,19320.877478856124
2025-09-12 00:00:00+00:00,19320.877478856124
2025-09-15 00:00:00+00:00,19123.804528571793
2025-09-16 00:00:00+00:00,18928.74172238036
2025-09-17 00:00:00+00:00,18735.66855681208
2025-09-18 00:00:00+00:00,18735.66855681208
2025-09-19 00:00:00+00:00,18911.74711933574
2025-09-22 00:00:00+00:00,18911.74711933574
2025-09-23 00:00:00+00:00,18911.74711933574
2025-09-24 00:00:00+00:00,18911.74711933574
2025-09-25 00:00:00+00:00,19286.19971229859
2025-09-26 00:00:00+00:00,19286.19971229859
2025-09-29 00:00:00+00:00,19668.0664666021
2025-09-30 00:00:00+00:00,19467.452188642757
2025-10-01 00:00:00+00:00,19467.452188642757
2025-10-02 00:00:00+00:00,19268.884176318603
2025-10-03 00:00:00+00:00,19268.884176318603
2025-10-06 00:00:00+00:00,19268.884176318603
2025-10-07 00:00:00+00:00,19650.408083009712
2025-10-08 00:00:00+00:00,19650.408083009712
2025-10-09 00:00:00+00:00,19835.08340419016
2025-10-10 00:00:00+00:00,19835.08340419016
2025-10-13 00:00:00+00:00,19632.765553467423
2025-10-14 00:00:00+00:00,19234.29972910487
2025-10-15 00:00:00+00:00,19234.29972910487
2025-10-16 00:00:00+00:00,19234.29972910487
2025-10-17 00:00:00+00:00,19234.29972910487
2025-10-20 00:00:00+00:00,19615.138863741147
2025-10-21 00:00:00+00:00,19615.138863741147
2025-10-22 00:00:00+00:00,19615.138863741147
2025-10-23 00:00:00+00:00,19615.138863741147
2025-10-24 00:00:00+00:00,19615.138863741147
2025-10-27 00:00:00+00:00,19615.138863741147
2025-10-28 00:00:00+00:00,19615.138863741147
2025-10-29 00:00:00+00:00,20003.51861324322
2025-10-30 00:00:00+00:00,20003.51861324322
2025-10-31 00:00:00+00:00,20003.51861324322
2025-11-03 00:00:00+00:00,20003.51861324322
2025-11-04 00:00:00+00:00,20003.51861324322
2025-11-05 00:00:00+00:00,19799.48272338814
2025-11-06 00:00:00+00:00,19799.48272338814
2025-11-07 00:00:00+00:00,19799.48272338814
2025-11-10 00:00:00+00:00,19799.48272338814
2025-11-11 00:00:00+00:00,20191.512481311227
2025-11-12 00:00:00+00:00,20191.512481311227
2025-11-13 00:00:00+00:00,20591.304428441188
2025-11-14 00:00:00+00:00,20591.304428441188
2025-11-17 00:00:00+00:00,20591.304428441188
2025-11-18 00:00:00+00:00,20591.304428441188
2025-11-19 00:00:00+00:00,20381.273123271087
2025-11-20 00:00:00+00:00,20381.273123271087
2025-11-21 00:00:00+00:00,20381.273123271087
2025-11-24 00:00:00+00:00,20381.273123271087
2025-11-25 00:00:00+00:00,20173.384137413723
2025-11-26 00:00:00+00:00,20173.384137413723
2025-11-27 00:00:00+00:00,20173.384137413723
2025-11-28 00:00:00+00:00,20173.384137413723
2025-12-01 00:00:00+00:00,20173.384137413723
2025-12-02 00:00:00+00:00,20173.384137413723
2025-12-03 00:00:00+00:00,20173.384137413723
2025-12-04 00:00:00+00:00,20173.384137413723
2025-12-05 00:00:00+00:00,20572.817143334516
2025-12-08 00:00:00+00:00,20572.817143334516
2025-12-09 00:00:00+00:00,20980.158922772538
2025-12-10 00:00:00+00:00,20980.158922772538
2025-12-11 00:00:00+00:00,20554.346456482304
2025-12-12 00:00:00+00:00,20554.346456482304
2025-12-15 00:00:00+00:00,20554.346456482304
2025-12-16 00:00:00+00:00,20344.692122626184
2025-12-17 00:00:00+00:00,21158.317863781936
2025-12-18 00:00:00+00:00,21158.317863781936
2025-12-19 00:00:00+00:00,21158.317863781936
2025-12-22 00:00:00+00:00,21158.317863781936
2025-12-23 00:00:00+00:00,21158.317863781936
